x,y
143.94734667161458,1478.987970401603
143.9465105482857,1479.4879697024944
143.9456744249568,1479.9879690033858
143.94483806060452,1480.4879683038798
143.94400169625226,1480.9879676043738
143.9431653319,1481.4879669048678
143.94232896754772,1481.9879662053618
143.94149260319546,1482.4879655058558
143.9406562388432,1482.9879648063497
143.93982008959847,1483.4879641072037
143.93898394035375,1483.9879634080576
143.93814779110903,1484.4879627089115
143.9373116418643,1484.9879620097654
143.9364754926196,1485.4879613106193
143.93563934337487,1485.9879606114732
143.93480322051153,1486.4879599123713
143.93396709764818,1486.9879592132693
143.93313097478483,1487.4879585141673
143.93229485192148,1487.9879578150653
143.93145872905814,1488.4879571159634
143.9306226061948,1488.9879564168614
143.92978623965644,1489.487955717352
143.92894987311809,1489.9879550178425
143.92811350657973,1490.487954318333
143.92727714004138,1490.9879536188237
143.92644077350303,1491.4879529193142
143.92560440696468,1491.9879522198048
143.92476825943618,1492.4879515206617
143.92393211190767,1492.9879508215186
143.92309596437917,1493.4879501223754
143.92225981685067,1493.9879494232323
143.92142366932217,1494.4879487240892
143.92058752179366,1494.987948024946
143.9197513993388,1495.4879473258447
143.91891527688392,1495.9879466267435
143.91807915442905,1496.4879459276422
143.91724303197418,1496.9879452285409
143.9164069095193,1497.4879445294396
143.91557078706444,1497.9879438303383
143.91473441829487,1498.487943130825
143.9138980495253,1498.9879424313117
143.91306168075573,1499.4879417317984
143.91222531198616,1499.987941032285
143.9113889432166,1500.4879403327718
143.91055257444702,1500.9879396332585
143.9097164287125,1501.487938911715
143.90888028297798,1501.9879381901715
143.90804413724345,1502.487937468628
143.90720799150893,1502.9879367470844
143.9063718457744,1503.4879360255409
143.90553570003988,1503.9879353039973
143.90469957798223,1504.4879346046569
143.90386345592458,1504.9879339053164
143.90302733386693,1505.4879332059759
143.90219121180928,1505.9879325066354
143.90135508975163,1506.487931807295
143.90051896769398,1506.9879311079544
143.89968259661566,1507.487930408435
143.89884622553734,1507.9879297089155
143.89800985445902,1508.487929009396
143.8971734833807,1508.9879283098767
143.89633711230238,1509.4879276103572
143.89550074122405,1509.9879269108378
143.89466459729408,1510.4879262117006
143.8938284533641,1510.9879255125634
